Total Potential Stores,List of Retailers,City,State,Reflex Market,Prioritized Zip Codes
"14","PacSun (3), Polo Ralph Lauren, Polo Ralph Lauren Factory Store, Polo Ralph Lauren Flagship Tree Guard by Spirit Ironworks, Inc., Ralph Lauren, Ralph Lauren Baby, Ralph Lauren Corporation, Ralph Lauren Men's Flagship, Ralph Lauren Women's and Home Flagship, SKIMS NYC FLAGSHIP, Tecovas (2)","New York","NY","Live","10000, 10012, 10021, 10022, 10155"
"8","PacSun (3), Polo Ralph Lauren Children's Factory Store (2), Polo Ralph Lauren Factory Store (2), Tecovas","Orlando","FL","Live","32809, 32819, 32821, 32839"
"7","PacSun (3), Polo Ralph Lauren, Polo Ralph Lauren Children's Factory Store, Polo Ralph Lauren Factory Store (2)","Las Vegas","NV","Live","89106, 89109, 89123"
"6","PacSun (3), Polo Ralph Lauren, Polo Ralph Lauren Factory Store, Ralph Lauren","Los Angeles","CA","Live","10250, 90015, 90040, 90048"
"6","PacSun (2), Polo Ralph Lauren Factory Store, Ralph Lauren (2), Ralph Lauren - Miami International Airport","Miami","FL","Live","11401, 33137, 33142, 33154, 33176"
"5","PacSun (2), Polo Ralph Lauren Factory Store, Ralph Lauren, Tecovas","Charlotte","NC","Live","28203, 28210, 28216, 28278"
"4","PacSun (3), Tecovas","Pittsburgh","PA","Not Live","15205, 15237, 15241"
"4","PacSun (3), Tecovas","Columbus","OH","Live","31909, 43219, 43240"
"4","PacSun (2), Polo Ralph Lauren Factory Store (2)","Aurora","IL","Not Live","44202, 60502, 60504"
"4","PacSun (2), Polo Ralph Lauren Factory Store, Tecovas","Oklahoma City","OK","Not Live","73118, 73127, 73134"
"4","PacSun, Ralph Lauren, SKIMS MIAMI, Tecovas","Aventura","FL","Not Live","19501, 19575"
"4","PacSun, Polo Ralph Lauren Factory Store, Polo Ralph Lauren Luxury Factory Store, Tecovas","Charleston","SC","Live","29401, 29406, 29418"
"4","PacSun (3), Polo Ralph Lauren Factory Store","Glendale","CA","Not Live","85305, 85308, 91210"
"4","PacSun, Ralph Lauren, SKIMS ATLANTA, Tecovas","Atlanta","GA","Live","30326"
"4","PacSun, Polo Ralph Lauren Factory Store, Tecovas (2)","Nashville","TN","Live","37203, 37214, 37215"
"4","PacSun, Polo Ralph Lauren Children's Factory Store, Polo Ralph Lauren Factory Store, SKIMS WOODBURY COMMONS OUTLET","Central Valley","NY","Not Live","10917"
"4","PacSun, Pacsun, Polo Ralph Lauren Factory Store, Tecovas","San Diego","CA","Live","92108, 92122, 92173"
"3","PacSun, Polo Ralph Lauren Factory Store, Polo Ralph Lauren Luxury Factory Store","Wrentham","MA","Not Live","02093"
"3","PacSun, Polo Ralph Lauren Children's Factory Store, Polo Ralph Lauren Factory Store","Tannersville","PA","Not Live","18372"
"3","PacSun, Polo Ralph Lauren Children's Factory Store, Polo Ralph Lauren Factory Store","Smithfield","NC","Not Live","27577"
"3","PacSun (3)","Columbia","MD","Not Live","10300, 65203"
"3","PacSun, Polo Ralph Lauren (2)","Greensboro","NC","Not Live","27407, 27409"
"3","PacSun (2), Polo Ralph Lauren Factory Store","Concord","CA","Not Live","28027, 94520"
